Группа	Код	Наименование	Наличие	Цена1 	Цена2	Цена3	Цена4	Старая цена	Описание краткое	Описание полное	Арт. Аналогов	Штрих код
	5045	OPEL 1.6 79.0 STD 16V X16XEL 1cil поршни поштучно	4	1550	1470	1400	1330	1740	ATS	MP 6560.00	MP6560.00=MP6560=0116900=94637600=5623040=5623040=94637600=0116900	0
	5049	OPEL 1.6 80.5 +0,5мм 16S/SH 1cil поршни поштучно	8	1520	1440	1370	1300	1700	ATS	MP 6579.01	MP6579.01=MP6579=93637700=0115600=21262=5623771=93637710	0
	5050	OPEL 1.6D 80.5 +0,5мм 1cil поршни поштучно	12	1100	1050	1000	950	1230	ATS	MP 6577.01	MP6577.01=MP6577=93578600=0115400=A350374=5623018=93578610=0115401	0
	5051	OPEL 1.6D 80.5 +1,0мм 1cil поршни поштучно	4	1660	1580	1500	1430	1860	ATS	MP 6577.02	MP6577.01=MP6577=93578600=0115400=A350374=5623018=93578610=0115401	0
	5052	OPEL 1.7D 83.0 +0,5мм 17D/DR 1cil поршни поштучно	4	2760	2620	2490	2370	3090	ATS	MP 4130.01	MP4130.01=MP4130=90858600=90858610=0112901	0
	5054	OPEL 2.0 86.5 +0,5мм X20XEV 16V 1cil поршни поштучно	4	1350	1280	1220	1160	1510	ATS	MP 6632.01	MP6632.01/MP6632/97332600/0117300/87-71665/97332610/0117301	0
	5056	OPEL 2.0 Om 87.0 +1,0мм C20NE 87.0 поршни поштучно	4	1660	1580	1500	1430	1860	ATS	MP 6630.02	MP6630.02/MP6630	0
	5057	OPEL 2.0 Rec 95.5 +0,5мм 1cil поршни поштучно	4	1770	1680	1600	1520	1980	ATS	MP 6704.01	MP6704.01=MP6704=93221600=0119000=5623675	0
	5058	VW 1.7D 80.0 +0,5мм 1cil поршни поштучно	4	2790	2650	2520	2390	3120	ATS	MP 9049.02	MP9049.02/MP9049/93921600/0298100/033107065/93921620/0298101	0
2	5059	Гильзы										0
	5060	Гильза MERCEDES  1,9D-2,4D d=89,0мм h=156,5мм	3	1440	1370	1300	1240	1610	Goetze	14-026380-00	14-026380-00	0
	5061	Гильза MERCEDES  616/617 d=91,0мм h=158,4мм	2	880	840	800	760	990	Mopisan	ML 2571.605	14-021350-00=ML 2571.605	0
	5062	Гильза MITSUBISHI 2,5TD d=91,1мм h=165мм	8	1210	1150	1090	1040	1360	Mopisan	ML 6130.605	CL-32020	0
	5063	Гильза MITSUBISHI 2,8TD d=95,0мм h=187мм 4M40/4M42	4	1660	1580	1500	1430	1860	AutoWelt	CL-32030	CL-32030	0
	5064	Гильза OPEL 1,6D d=80мм h=143,5мм	6	1100	1050	1000	950	1230	Mopisan	ML 6577.605	ML 6577.605	0
	5065	Гильза OPEL 1,7D d=82,5мм h=142мм	0	1160	1100	1050	1000	1300	Kolbenschmidt	89432190	ML 4130.605 = 89432190	0
	5066	Гильза VW 1,6D d=76,5мм h=145мм	4	1120	1060	1010	960	1250	Mopisan	ML 8989.605	ML8989.605=1180030=14-024670-00=89163190	0
	5067	Гильза VW 1,9D-2,4D d=79,5мм h=152мм	4	940	890	850	810	1050	Goetze	14-027950-00	89434190=14-027950-00=1225030=ML 9046.605	0
	9537	Гильза VW 2,5D d=81,0мм h=160мм	4	1860	1770	1680	1600	2080	Mopisan	ML9088.605	89586190=ML9088.605	0
2	5068	Кольца поршневые										0
3	5069	VW										0
	5070	VAG кольца поршневые 1,1 std d69,5  1,75-2-4 к-т	1	2700	2570	2440	2320	3020	NE	9-5034-00	9-5034-00=800000240000	0
	5071	VAG кольца поршневые 1,1 std d69,5  1,75-2,5-4 к-т	1	2790	2650	2520	2390	3120	NE	9-5014-00	9-5014-00	0
	5073	VAG кольца поршневые 1,3 std d75 1,75-2-3 к-т	4	2240	2130	2020	1920	2510	Kolbenschmidt	800025040000	9-5035-00=800025040000	0
	5074	VAG кольца поршневые 1,3 +0,5 d75,5 1,75-2-3 к-т	1	2330	2210	2100	2000	2610	Kolbenschmidt	800025040050	9-5035-50=800025040050	0
	5075	VAG кольца поршневые 1,4 std d76,5  1,2-1,5-2,5 1цил	4	930	880	840	800	1040	Goetze	08-502800-00	03032n0=RS-51060=800026140000=08-502800-00	0
	5076	VAG кольца поршневые 1,6 std d79,5  1,75-2-4 к-т ATS	2	1650	1570	1490	1420	1850	Herzog	h101795p	08-405000-00=9-5017-00=800000942000=101795	0
	5077	VAG кольца поршневые 1,6 std d79,5  1,75-2-4 к-т KS	2	2790	2650	2520	2390	3120	Kolbenschmidt	800000942000	08-405000-00=9-5017-00=800000942000=101795	0
	5078	VAG кольца поршневые 1,6 +0,5 d80,0  1,75-2-4 к-т	1	2980	2830	2690	2560	3340	Kolbenschmidt	800000942050	800000942050=9-5017-50 	0
	5080	VAG кольца поршневые 1,6 +0,5 d81,5 1,2-1,5-2 AHL к-т	1	4470	4250	4040	3840	5010	Kolbenschmidt	800039440050	800039440050=03301N0=08-105907-00	0
	5081	VAG кольца поршневые 1,6D std d76,5  1,75-2-3 к-т	1	1680	1600	1520	1440	1880	Herzog	H100765P	02-08-405207-00=9-5018-00=H100765P	0
	5082	VAG кольца поршневые 1,6D std d76,5 1,75-2-3 1цил	6	770	730	690	660	860	Kolbenschmidt	800000641000	800000641000	0
	5085	VAG кольца поршневые 1,6TD std d76,5 1,75-2-3 1цил	8	760	720	680	650	850	Kolbenschmidt	800000610000	800000610000=9-5060-00	0
	5086	VAG кольца поршневые 1,6TD +0,5 d77,0  1,75-2-3 1цил	2	840	800	760	720	940	Kolbenschmidt	800000610050	800000610050=9-5060-50	0
	5087	VAG кольца поршневые 1,6TD +1,0 d77,5  1,75-2-3 1цил	8	920	870	830	790	1030	Kolbenschmidt	800000610100	800000610100=9-5060-10	0
	5089	VAG кольца поршневые 1,8 +0,5 d81,5 1,5-1,75-3 к-т	1	2980	2830	2690	2560	3340	Kolbenschmidt	800001043050	9-5037-50= 800001043050=800001012050	0
	5093	VAG кольца поршневые 1,9-2,8 +0,5 d83 1,2-1,5-2 1цил	4	890	850	810	770	1000	Kolbenschmidt	800001210050	800001210050=9-5052-50	0
	5096	VAG кольца поршневые 1,9-2,0 std d83 1цил GOETZE	5	1210	1150	1090	1040	1360	Goetze	08-991407-00	08-991407-00=9-5043-50	0
	5097	VAG кольца поршневые 1,9-2,4D std d79,5 1,75-2-3 1цил	4	780	740	700	670	870	Kolbenschmidt	800000810000	800000810000=9-5045-00=4028977352171	0
	5098	VAG кольца поршневые 1,9-2,4D +0,25 d79,75 1,75-2-3 межремонтные 1цил	2	690	660	630	600	770	Kolbenschmidt	800000810025	800000810025=4028977352188	0
	5099	VAG кольца поршневые 1,9-2,4D +0,5 d80 1,75-2-3 1цил	8	730	690	660	630	820	Kolbenschmidt	800000810050	800000810050=9-5045-50=4028977352195	0
	5100	VAG кольца поршневые 1,9-2,4D +1,0 d80,5 1,75-2-3 1цил	0	690	660	630	600	770	Kolbenschmidt	800000810100	800000810100=9-5045-10=xml-03020N3	0
	5101	VAG кольца поршневые 2,5D 5цил std d81,0 STD 2,5-2-3 к-т	0	6520	6190	5880	5590	7300	Kolbenschmidt	800001150000	800001150000=800001110000	0
3	5103	OPEL										0
	9642	OPEL кольца поршневые 1,0-1,4 STD d73,4 1,2-1,2-2,0 NE 1цил	3	650	620	590	560	730	NE	9-3556-00	9-3556-00=0630157=01218N0=800071010000	0
	5104	OPEL кольца поршневые 1,2 +0,5 d79,5  2-2-5 к-т SM	1	2420	2300	2190	2080	2710	NE	9-3508-50	9-3508-50=800020840050	0
	5105	OPEL кольца поршневые 1,2 +0,5 d79,5  2-2-5 к-т KS	1	2790	2650	2520	2390	3120	Kolbenschmidt	800020840050	9-3508-50=800020840050	0
	5106	OPEL кольца поршневые 1,3 std d75  1,75-2-4 к-т SM	1	2610	2480	2360	2240	2920	NE	9-3512-00	08-305500-00=9-3512-00=800020440000	0
	5107	OPEL кольца поршневые 1,3 std d75  1,75-2-4 к-т KS	2	2980	2830	2690	2560	3340	Kolbenschmidt	800020440000	08-305500-00=9-3512-00=800020440000	0
	5108	OPEL кольца поршневые 1,3 +0,5 d75,5 1,75-2-4 к-т SM	1	1660	1580	1500	1430	1860	NE	3215-50	08-305507-00=9-3512-50=800020440050	0
	5109	OPEL кольца поршневые 1,3 std d75  1,5-1,5-4 к-т ATS	1	1650	1570	1490	1420	1850	Herzog	H300750P	9-3528-00=800020340000=08-306300-00=H300750P	0
	5110	OPEL кольца поршневые 1,3 std d75  1,5-1,5-4 к-т KS	2	3070	2920	2770	2630	3440	Kolbenschmidt	800020340000	9-3528-00=800020340000=08-306300-00=H300750P	0
	5111	OPEL кольца поршневые 1,3 +0,5 d75,5  1,5-1,5-4 к-т SM	1	1860	1770	1680	1600	2080	NE	9-3528-50	9-3528-50=800020340050=08-306307-00 	0
	5112	OPEL кольца поршневые 1,3 +0,5 d75,5  1,5-1,5-4 к-т KS	2	2780	2640	2510	2380	3110	Kolbenschmidt	800020340050	9-3528-50=800020340050=08-306307-00 	0
	5115	OPEL кольца поршневые 1,6 std d79,0 Vectra 0,5 к-та	1	1400	1330	1260	1200	1570	Kolbenschmidt	800020740000	08-306900-00=9-3538-00=800020740000=H300790P	0
	5116	OPEL кольца поршневые 1,6 +0,5 d79,5 Vectra 1,2-1,5-3 к-т 	1	2790	2650	2520	2390	3120	Kolbenschmidt	800020740050	08-306907-00=9-3538-50=800020740050	0
	5118	OPEL кольца поршневые 1,6D std d80 2-2-3 к-т KS	1	3480	3310	3140	2980	3900	Kolbenschmidt	800008440000	08-305900-10=9-3530-00=800008440000	0
	5119	OPEL кольца поршневые 1,6D +0,5 d80,5  2-2-3 к-т 	2	3350	3180	3020	2870	3750	Kolbenschmidt	800008440050	08-305907-10=9-3530-50=800008440050	0
	5121	OPEL кольца поршневые 1,6 std d80 1,5-1,75-4 к-т 	3	3560	3380	3210	3050	3990	Kolbenschmidt	800020940000	08-305600-00=9-3529-00=800020940000	0
	5122	OPEL кольца поршневые 1,6 std d80,5 1,5-1,75-4 к-т 	2	3560	3380	3210	3050	3990	Kolbenschmidt	800020940050	08-305607-00=9-3529-50=800020940050	0
	5124	OPEL кольца поршневые 1,6 X16XEL +0,5 d79,5 1,2-1,5-2,5 к-т SM	1	2400	2280	2170	2060	2690	NE	9-3551-50	9-3551-50=01169N2=800039740050	0
	5125	OPEL кольца поршневые 1,6 X16XEL +0,5 d79,5 1,2-1,5-2,5 к-т KS	0	2970	2820	2680	2550	3330	Mahle Kolben	01169N2	9-3551-50=01169N2=800039740050	0
	9873	OPEL кольца поршневые 1,6 X16XEL +1,0 d80,0 1,2-1,5-2,5 к-т KS	1	3380	3210	3050	2900	3790	KS	800039740100	800039740100=08-307811-00=9-3551-10=800071810100	0
	5126	OPEL кольца поршневые 1,7D std d82,5  2-2-3 к-т 	1	3960	3760	3570	3390	4440	Kolbenschmidt	800037040000	9-3533-00=800021040000=800037040000-FORD	0
	5127	OPEL кольца поршневые 1,7D +0,5 d83  2-2-3 к-т SM	1	4110	3900	3710	3520	4600	NE	9-3533-50	9-3533-50=800021040050=800037040050-FORD	0
	5128	OPEL кольца поршневые 1,7D +0,5 d83  2-2-3 к-т KS	1	4420	4200	3990	3790	4950	Kolbenschmidt	800021040050	9-3533-50=800021040050=800037040050-FORD	0
	5129	OPEL кольца поршневые 1,8 std d84,8  1,5-1,75-4 к-т 	2	3370	3200	3040	2890	3770	NE	9-3531-00	9-3531-00=08-306000-00	0
	5131	OPEL кольца поршневые 1,8 std d84,8  1,5-1,5-3 1цил Vectra,Omega	4	890	850	810	770	1000	Kolbenschmidt	800021110000	9-3534-00=xfm-r43260-std=800021110000=800021140000=08-307200-00	0
	5132	OPEL кольца поршневые 1,8 +0,5 d85,3  1,5-1,5-3 к-т SM	1	3190	3030	2880	2740	3570	NE	9-3534-50	9-3534-50=08-307207-00=800021140050	0
	5133	OPEL кольца поршневые 1,8 +0,5 d85,3  1,5-1,5-3 к-т KS	1	3810	3620	3440	3270	4270	Kolbenschmidt	800021140050	9-3534-50=08-307207-00=800021140050	0
	5134	OPEL кольца поршневые X1,8XE std d81,6 1,5-1,5-3 к-т 	1	5530	5250	4990	4740	6190	Kolbenschmidt	800040340000	800040340000	0
	5135	OPEL кольца поршневые X1,8XE +0,5 d82,1 1,5-1,5-3 к-т 	1	6810	6470	6150	5840	7630	Kolbenschmidt	800040340050	800040340050	0
	5136	OPEL кольца поршневые 2,0 std d95 2-2-4 к-т 	1	1850	1760	1670	1590	2070	ATS	ATS300950P	9-3525-00=800021720000=H300950P=ATS300950P	0
	5137	OPEL кольца поршневые 2,0 +0,5 d95,5 2-2-4 к-т 	1	3700	3520	3340	3170	4140	NE	3525-50	9-3525-50=800021720050=H300955P	0
	5138	OPEL кольца поршневые 2,0 std d86 1,5-1,5-3 к-т Vectra,Omega	1	3680	3500	3330	3160	4120	Kolbenschmidt	800021240000	9-3535-00=800021240000=08-306800-00	0
	5139	OPEL кольца поршневые 2,0 +0,5 d86,5 1,5-1,5-3 к-т Vectra,Omega	1	3360	3190	3030	2880	3760	Kolbenschmidt	800021240050	9-3535-50=800021240050	0
	5140	OPEL кольца поршневые 2,3D std d92 2-2-4 к-т 	1	5480	5210	4950	4700	6140	Kolbenschmidt	800021540000	9-3527-00=800021540000	0
	5141	OPEL кольца поршневые 2,3D +0,5 d92,5 2-2-4 к-т 	1	5340	5070	4820	4580	5980	Kolbenschmidt	800021540050	9-3527-50=800021540050	0
3	5144	FORD										0
	5145	FORD кольца поршневые 1,3 +0,5 d80,5 1,6-2-4 к-т Escort	1	3340	3170	3010	2860	3740	NE	9-2118-50	9-2118-50=800008341050	0
	5147	FORD кольца поршневые 1,6 std d87,65 1,6-2-4 к-т	1	3670	3490	3320	3150	4110	NE	9-2120-00	9-2120-00=800009040000	0
	5149	FORD кольца поршневые 1,6 std d87,65 2-2,5-4 к-т	1	2660	2530	2400	2280	2980	NE	9-2109-00	9-2109-00=800009141000	0
	5155	FORD кольца поршневые 2,0 +0,5 d91,3 2-2,5-4 к-т	1	2960	2810	2670	2540	3320	Herzog	H400913P	9-2114-50=H400913P=800009540050	0
	5156	FORD кольца поршневые 2,3-2,5D std d94 2-2-4 к-т	1	4400	4180	3970	3770	4930	NE	9-3714-00	9-3714-00	0
	5159	FORD кольца поршневые 2,5d std d93,67 2,5-2-4 к-т TRANSIT	1	6630	6300	5990	5690	7430	Kolbenschmidt	800009940000	9-2134-00=08-784800-00=800009940000	0
3	5160	MERCEDES, BMW И ДРУГИЕ										0
	5162	MB кольца поршневые 2,0 std d89 1,75-2-3,5 1цил	1	1910	1810	1720	1630	2140	Koivunen Oy	034-13252co-000	034-13252CO-000=9-1038-00=800017713000	0
	5164	MB кольца поршневые OM102 +0,5 d96 1,75-2-3,5 к-т	1	6540	6210	5900	5610	7320	Kolbenschmidt	800018940050	9-1040-50=8000189400050=800018941050	0
	5165	MB кольца поршневые OM103 3,0Е std d88.5 к-т	1	3700	3520	3340	3170	4140	Kolbenschmidt	800017660000	800017660000	0
	5166	BMW кольца поршневые 6цил  std к-т	1	6450	6130	5820	5530	7220	Kolbenschmidt	800001661000	9-0710-00=800001661000	0
	5168	TOYOTA кольца поршневые +0,5 d80,5 1,5-1,5-4 к-т LITE ACE мотор 5K	1	4360	4140	3930	3730	4880	Japan Cars	O42036.050	O42036.050	0
