Группа	Код	Наименование	Наличие	Цена1 	Цена2	Цена3	Цена4	Старая цена	Описание краткое	Описание полное	Арт. Аналогов	Штрих код
	5720	KIA SPORTAGE 2,0 Ремкомплект двигателя	1	9380	8910	8460	8040	10510	Ajusa	50163400	50163400=0K01C10270	0
	5721	KIA SPORTAGE 2,0 Прокладка под штаны	1	320	300	290	280	360	Hyundai/Kia	0k01140305	0k01140305	0
4	5722	Прокладка клапанной крышки										0
	5723	MB прокладка клапанной крышки MB 102 в разные стороны	1	350	330	310	290	390	ELRING	305.422	53074=FEBI-01496=305.422	0
	5724	MB прокладка клапанной крышки лев. мотор M113.940	1	790	750	710	670	880	ELRING	131960	xel-131.960=xes-1522081=71-35581-00=46040=a1130160221=11131300=408064755	0
	5725	MB прокладка клапанной крышки MB 2,0D=2,3D	1	540	510	480	460	600	ELWIS ROYAL	1522016	53076=70-26222-10=FB-05142=99905142=1522016	0
	9795	MB прокладка клапанной крышки MB 2,0D=2,3D в разные стороны	1	680	650	620	590	760	FEBI	01309	53077=X53077-00=fb-01309=xel-594369=xes-1522015=a6010160721=11049400=400930016=71-26492-10	0
	5726	MB прокладка клапанной крышки MB 2,4D	1	380	360	340	320	430	GLASER	02740	02740=08615	0
	5727	MB прокладка клапанной крышки MB 3,0/3,5TD	1	1090	1040	990	940	1220	REINZ	70-26999-00	70-26999-00=53068=01343	0
	5728	MB прокладка клапанной крышки MB 2,0/2,2CDI	1	640	610	580	550	720	STELLOX	11-28049-SX	15-36393-01=11-28049-SX=133.670=A6460160621=6460161221=15-38449-02=71-38449-00=xel-685510	0
	5729	BMW прокладка клапанной крышки BMW 6ц  M50	1	490	470	450	430	550	Febi	06622	xko-041-891312=V32248=06622=53126	0
	5731	BMW прокладка клапанной крышки	1	1060	1010	960	910	1190	Febi	01012	fb-01012=51212	0
	5732	BMW X-5 прокладка клапанной крышки 1-4цил	1	2340	2220	2110	2000	2620	REINZ	15-33397-01	15-33397-01=11120034105	0
	5733	BMW X-5 прокладка клапанной крышки 5-8цил	1	2340	2220	2110	2000	2620	REINZ	15-33396-01	15-33396-01=11120034104	0
	5734	NISSAN прокладка клапанной крышки cd20	1	870	830	790	750	970	Ajusa	11043300	13270-57j01=11043300	0
	5735	MITS 1,6-1,8 прокладка клапанной крышки	1	1020	970	920	870	1140	Nipparts	J1225017	J1225017=56013500=MD167815	0
	9646	MITS 1,6-1,8 прокладка клапанной крышки	1	690	660	630	600	770	Nakamoto	G060310	G060310	0
	5738	HONDA CRV-2 2,4 прокладка клапанной крышки	1	780	740	700	670	870	Stone	JC-43063	xsn-jc-43063=12341-RTA-000=12341-PNA-000=270.380	0
	5739	HONDA CRV-2 2,4 прокладка свечного колодца	4	170	160	150	140	190	Stone	JC-43043	xsn-jc-43043=12342-P2F-A01=12342-P8A-A01=12342-P08-004=12342-RYE-004	0
	5740	HYUNDAI прокладка клапанной крышки	1	1910	1810	1720	1630	2140	Hyundai/Kia	22441-27502	22441-27502	0
4	5741	Прокладка помпы										0
	5742	MB VITO прокладка помпы VITO CDI	1	1590	1510	1430	1360	1780	Mercedes	6110980180	6112010180	0
	5743	MB SPRINTER прокладка масляного фильтра где трубки	4	360	340	320	300	400	Mercedes	A0129975648	A0129975648	0
4	5744	Прокладка поддона										0
	5745	BMW прокладка поддона M40/42/43	2	640	610	580	550	720	GLASER	54105	54105=X54105-00=11131739592	0
	5746	BMW прокладка поддона E30/E36	1	420	400	380	360	470	REINZ	70-27554-00	70-27554-00	0
4	5747	Прокладка под коллектор										0
	5748	BMW 821.020 выпускного коллектора 51361	3	270	260	250	240	300	ELRING	821020	51361	0
	5749	MB SPRINTER/VITO OM 611 прокладка впускного коллектора резина	4	150	140	130	120	170	ELWIS ROYAL	7722015	gmba6110980280=7722015=xaj-01111200	0
	5750	MITS GALANT 1,6-1,8 под выпускной коллектор	1	830	790	750	710	930	Ajusa	13089300	13089300=71-52724-00=MR161501	0
	5751	MITS GALANT 1,6-1,8 под впускной коллектор	1	280	270	260	250	310	Ajusa	13089100	13089100=71-52723-00=MD172796	0
	5752	CRV 2,0 вып коллектора 18115-P2A-003 = 13097910 = 13084910	1	780	740	700	670	870	Ajusa	13097910	18115-P2A-003=13097910=13084910	0
4	5753	Прокладка поддона АКПП										0
	5757	TOYOTA прокладка поддона АКПП	1	990	940	890	850	1110	Toyota	35168-21011	35168-21011	0
3	5758	DAEWOO, FIAT, MITSUBISHI, TOYOTA, VOLVO										0
4	5759	Прокладка головки блока										0
	5760	FIAT 1,3-1,5 прокладка головки 86мм	1	770	730	690	660	860	GLASER	01975	01975	0
	9680	Hyundai/Kia 2.0CRDi прокладка головки 3м 84,5мм	1	1910	1810	1720	1630	2140	Hyundai/Kia	22311-27420	22311-27420=22311-27421=442.890=J1250537=61-10010-20	0
	5761	MITS 1,8TD прокладка головки	1	1290	1230	1170	1110	1440	GLASER	50579	xaj-10042500=50579	0
	5762	MITS 1,6-1,8 прокладка головки	1	1280	1220	1160	1100	1430	Ajusa	10079000	10079000=50659=50737	0
	5763	MITS прокладка головки 2,0 4G63K V16 паранит	1	430	410	390	370	480	ERISTIC	EG233	MD183808=EG233=61-52480-00=920.487=10078900=H80927-00=BS120=PGA-N019	0
	5764	MITS прокладка головки SPACE WAGON 4G63 V8	1	810	770	730	690	910	AutoWelt	HG-32100	HG-32100=50695	0
	5765	TOYOTA 2L/2LT 2,4D прокладка головки сталь	1	1500	1430	1360	1290	1680	GLASER	50586	50586=11115-54083	0
	5766	VOLVO,RENO прокладка головки 1,4 d76	1	360	340	320	300	400	GLASER	03345	03345	0
	5767	VOLVO,RENO прокладка головки 1,8 d81	1	500	480	460	440	560	GLASER	04994	04994	0
3	5768	Ремкомплекты прокладок ТУРЦИЯ										0
	5769	BMW M20 к-т прокладок двигателя (Турция)	1	1830	1740	1650	1570	2050	TUR	Турция BMW  M20	BMW  M20	0
	5770	FORD SIE 1.6 81.3 к-т прокладок двигателя (Турция)	1	1830	1740	1650	1570	2050	TUR	Турция FORD SIERA  1.6	FORD SIERRA  1.6 81.3	0
	5771	FORD SIERRA 1.8  86.2 к-т прокладок двигателя (Турция)	1	1830	1740	1650	1570	2050	TUR	Турция FORD SIERA  1.8	FORD SIERRA 1.8  86.2	0
	5772	MB 2.0 M615 к-т прокладок двигателя (Турция)	1	1830	1740	1650	1570	2050	TUR	Турция MB 2.0 M615	MB 2.0 M615	0
	5773	MB 3.0 OM617 к-т прокладок двигателя (Турция)	1	1830	1740	1650	1570	2050	TUR	Турция MB 3.0 OM617	MB 3.0 OM617	0
	5774	OPEL  1.6D к-т прокладок двигателя (Турция)	1	1830	1740	1650	1570	2050	TUR	Турция OPEL  1.6D	OPEL 1.6D	0
	5775	OPEL 3.0 6ц к-т прокладок двигателя (Турция)	1	1830	1740	1650	1570	2050	TUR	Турция OPEL 3.0	OPEL 3.0 6cil benzin 	0
	5776	VW 1.6  4ц 81.0 к-т прокладок двигателя (Турция)	1	1830	1740	1650	1570	2050	TUR	Турция VW  1.6  4cil 81.0	VW 1.6  4cil 81.0  benzin 	0
	5777	VW 1.9/2.2 5ц  79.5 к-т прокладок двигателя (Турция)	1	1830	1740	1650	1570	2050	TUR	Турция VW  1.9/2.2	VW 1.9/2.2  5cil  benzin 79.5	0
2	5778	Колпачки маслосьемные										0
3	5779	AUDI VW										0
	5780	AUDI/VW колпачки маслосъемные 8х10,2 FEBI шт	0	30	30	30	30	30	Febi	03345	12-25837-01=FB-03345=24-30667-00/0=S12014265=553190=026109675=76531=553.190	0
	5782	AUDI/VW колпачки маслосъемные 8х10,2 Reinz к-т 8шт	2	340	320	300	290	380	Reinz	12-25837-01	12-25837-01=FB-03345=24-30667-00/0=S12014265=553190=026109675=76531=553.190	0
	5783	AUDI/VW T-5 1,9TD колпачки маслосъемные 7мм	14	40	40	40	40	40	Elring	701289	xel-701289=027109675=70-26058-00=50-306767-50=50-306538-50=91-5001=50-306706-50	0
	5788	AUDI/VW T-5 2,0TD VEC B колпачки маслосъемные d=6mm	38	30	30	30	30	30	Elring	403730	50-306147-50=0642533=403.730=FB-02741=76662=xc-s12014670=70-31306-00=036109675A=12014670	0
3	5784	OPEL										0
	5785	OPEL 1,2 колпачки маслосъемные резин	11	50	50	50	50	60	Febi	03353	FB-03353	0
	5786	OPEL 1,3 колпачки маслосъемные 7мм	12	70	70	70	70	80	Elring	586.693	FB-03360=76601=50-305900-50=586693=0642527	0
	5789	OPEL VEC B колпачки маслосъемные d=5mm	50	100	100	100	100	110	Glaser	76707	76707=476691=12012700=476.691	0
	5790	OPEL RECORD 2,0=2,3D    9х14     	16	80	80	80	80	90	Febi	03361	FB-03361	0
3	5791	FORD										0
	5792	FORD 1,3-2,0 ОНС колпачки маслосъемные	34	50	50	50	50	60	Corteco	12015511	12009000=50-306122-50=XC-S12015511=FB-03351=206954=xel-197378	0
	5793	FORD 1,3-2,3 DOHC колпачки маслосъемные 7x11/14,4x9,5	24	50	50	50	50	60	Elring	766.615	50-306911-50=XC-S12015878=06446=76652	0
	5794	FORD 2,3B колпачки маслосъемные V образка	6	110	100	100	100	120	Ajusa	12001300	XAJ-12001300	0
3	5795	MERCEDES										0
	5796	MERCEDES D колпачки маслосъемные шт 10x14	8	50	50	50	50	60	Corteco	12015725	FB-08635=XC-S12015725	0
	5798	MERCEDES B колпачки маслосъемные к-т (08916+06645)	1	420	400	380	360	470	Febi	06647	FB-06647	0
	5799	MERCEDES D колпачки маслосъемные к-т 116-117мотор	2	560	530	500	480	630	Febi	08631	FB-08631	0
3	5800	РАЗНОЕ										0
	5802	MAZDA 323/626 колпачки маслосъемные	8	140	130	120	110	160	Japan Cars	N33035	N33035=12014100=PA883=B630-10-155	0
	5803	MITSUBISHI колпачки маслосъемные 7X12/15	16	100	100	100	100	110	Elring	019.790	019790=kj570=pa968=12006500	0
2	5804	Сальники										0
3	5805	OPEL										0
	5806	OPEL 18-32-6 сальник масл насоса Vectra B 1,7TD	1	350	330	310	290	390	Hans Pries	201282015	xc-s12015450=201282015=94335	0
	5807	OPEL 26-42-8 сальник	1	160	150	140	130	180	Hans Pries	201284515	201284515=50-306704-00=049557=76040	0
	5808	OPEL 30-40-7 сальник	2	470	450	430	410	530	Corteco	12010673B	12010673B=XC-S12010673	0
	5809	OPEL 30-42-8 сальник DAEWOO	1	240	230	220	210	270	Corteco	19016635	XC-S19016635=19016635B=nk125=91212679014=a4869	0
	5810	OPEL 31-50-8 сальник	2	330	310	290	280	370	Hans Pries	201280375	201280016=50-306551-50=330.736=15010000=694739=12013458=XFM-NB700	0
	5811	OPEL 32-21-9 сальник первичного вала кпп F-13	2	210	200	190	180	240	Hans Pries	201530786	xma-s672prda=0714412=hp-201530786	0
	5812	OPEL 35-48-7 сальник распредвала	0	270	260	250	240	300	ELRING	702269	702269=80-24909-10=FB-05102=201218515=NJ743=01-3006360841-A	0
	5813	OPEL 35-50-8 сальник	3	130	120	110	100	150	Payen	nj242	694.657=S12013459=50-319241-00=090-nj242	0
	5814	OPEL 35-54-10/15 сальник КПП резиновый KAD1,3=VECTRA A/B	2	140	130	120	110	160	Meyle	6140370004	6140370004=0374197=200533885=xma-s673pi=01-3003740197-A	0
	5815	OPEL 35-55-9 сальник КПП железный ASC1,6=VEC 1,8-2,0	2	230	220	210	200	260	Hans Pries	200529016	200529016=0374151=200529885	0
	5816	OPEL 35-65-12 сальник заднего моста OMEGA A	1	250	240	230	220	280	DELLO	01-3004140537-A	01-3004140537-A=0414537=200761885	0
	5817	OPEL 38-50-8 сальник	1	740	700	670	640	830	ELRING	763918	763.918=xel-763918	0
	5818	OPEL 40-52-7 сальник к/в передний	1	380	360	340	320	430	Payen	NA5223	XFM-NA5223=xc-s12019250b=xel-445060=0646910=hp-207642545	0
	5819	OPEL 42-55-7 сальник 1,2	0	430	410	390	370	480	Hans Pries	205565016	31144=15056500=127.610=0638199=205565016	0
	5820	OPEL 42-72-10/8 сальник хвостовика OMEGA	1	430	410	390	370	480	DELLO	01-3004060777-A	0406775=0406777=0412005=200758885 = 01-3004060777-A	0
	5821	OPEL 45-60-9/8 сальник	2	590	560	530	500	660	ELRING	590.762	590762 590.762=81-19195-00	0
	5822	OPEL 47,62-80,26-6,8/13,3 сальник хвостовика FRONTERA	1	610	580	550	520	680	DELLO	01-3004060774-A	0406774=01-3004060774-A	0
	5826	OPEL 86-104-11/9 сальник	2	1210	1150	1090	1040	1360	GOETZE	50-306261-50	50-306261-50=581.879=80-25517-00	0
	5827	OPEL 87-100-8 сальник 1,5-1,7TD	1	760	720	680	650	850	Hans Pries	201163016	0614825=060110=50-319268-00=81-53299-00	0
	5829	OPEL сальник передней ступицы внутренний FRONTERA	2	950	900	860	820	1060	OPEL	0308456	0308456	0
3	5830	OPEL SPAIN										0
	5831	OPEL 31-50-8 сальник SPAIN 1,6-1,8 пер к/в	2	150	140	130	120	170	REYCON	1293256	76085=1293256	0
	5832	OPEL 35-48-7 сальник SPAIN	2	130	120	110	100	150	Malo	11736prds	XMA-S11736PRDS=S20011244=15012600	0
	5833	OPEL 35-50-8 сальник SPAIN	2	150	140	130	120	170	REYCON	REYCON	xma-s11625rdac	0
	5834	OPEL 38-50-8 сальник SPAIN	2	230	220	210	200	260	REYCON	REYCON	xma-s683prdf	0
	5835	OPEL 45-60-9 сальник SPAIN	3	260	250	240	230	290	Malo	11565RDAC	76163=1292467=15021400=XMA-S11565RDAC	0
	5836	OPEL 54-82-12 сальник SPAIN	2	170	160	150	140	190	Malo	11180rssi	15026500=76200=1280220=1280429=xma-s11180rssi	0
	5837	OPEL 55-70-8 сальник SPAIN	1	470	450	430	410	530	Hans Pries	201222786	880638194=XC-S12015548=XMA-S676RSFL=01-3006380194-A	0
	5838	OPEL 77-100-11 сальник SPAIN	2	280	270	260	250	310	REYCON	REYCON	76320=1291675	0
	5840	OPEL 81-100-11 сальник SPAIN	1	380	360	340	320	430	REYCON	1292260	76347=1292260	0
	5841	OPEL 86-104-11 сальник SPAIN	2	730	690	660	630	820	REYCON	REYCON	76358=1291267=xma-s11742rsfl	0
3	5843	AUDI										0
	5844	AUDI/VW 15-24-7 сальник штока КПП	1	170	160	150	140	190	Corteco	12000444b	xc-12000444b=XC-S12000444=303010227085=100007885=279.528=085301227	0
	5845	AUDI/VW 21,8-35-7 сальник первичного вала КПП T-4 / T-5	1	240	230	220	210	270	Corteco	12015554	XMA-S11636RDAC=xc-s12015554B=hp-101776755=085311113	0
	5846	AUDI/VW 21,9-40-8 сальник первичного вала	1	80	80	80	80	90	Hans Pries	100082786	xel-244040=hp-100082786=020311113	0
	5847	AUDI/VW 25-40-8 сальник первичного вала КПП LT	1	80	80	80	80	90	Corteco	12016989	XC-S12016989=hp-100059016	0
	5848	AUDI/VW 27-42-8 сальник р/вала GOLF 1,4	3	350	330	310	290	390	Corteco	12018554	12018554=036103085A	0
	5849	AUDI/VW 32-42-6/7 сальник пер	1	300	290	280	270	340	Corteco	20019960b	xc-s20019960b=15068600=20019960=158.060=81-34227-00=036103085H=hp-109837786	0
	5851	AUDI/VW 32-47-10 сальник р/в оригинал	0	1550	1470	1400	1330	1740	VAG	028103086A	028103086A=326.470	0
	5852	AUDI/VW 32-47-10 сальник пер Febi	6	160	150	140	130	180	Febi	03598	FB-03598=GPD 29-0026=ELR325.155=07-50-303185-50=038103085С=81-19299-10	0
	5853	AUDI/VW 32-47-10 сальник пер GPD	2	150	140	130	120	170	Sfec	VS003598	FB-03598=GPD 29-0026=ELR325.155=07-50-303185-50=038103085С=81-19299-10	0
	5854	AUDI/VW 32-47-10 сальник пер Reinz	4	260	250	240	230	290	Reinz	81-19299-10	FB-03598=GPD 29-0026=ELR325.155=50-303185-50=038103085С=81-19299-10	0
	5856	AUDI/VW 35-48-10 сальник к/в пер	2	390	370	350	330	440	GOETZE	50-306067-50	294.357=81-24292-10=XEL-475961=50-306067-50=038103085E	0
	5857	AUDI/VW 35-48-10 сальник	1	1080	1030	980	930	1210	VAG	038103085E	294.357=81-24292-10=XEL-475961=50-306067-50=038103085E	0
	5858	AUDI/VW 40-52/58-7,5 сальник ступичный	2	70	70	70	70	80	Malo	11637P	XMA-S11637P	0
	5859	AUDI/VW 40-52-9 сальник КПП	1	130	120	110	100	150	Malo	11740PIAC	S12010684=XMA-S11639PRDA=090-NB406=XMA-S11740PIAC	0
	5860	AUDI/VW заглушка КПП 40мм для сальника 50-65-10 см.02065	0	80	80	80	80	90	Febi	02067	100084=020409289b=fb-02067	0
	5861	AUDI/VW 40-60-10/11,5 сальник КПП P-3	2	200	190	180	170	220	Hans Pries	100354016	xc-s12015556=FB-15285=hp-100354016	0
	5862	AUDI/VW 40-65-10 сальник хвостовика КПП LT	1	170	160	150	140	190	Hans Pries	107285016	hp-107285016=015301227	0
	5863	AUDI/VW 45-60-8 сальник КПП T-4 CORTECO/ELRING	4	320	300	290	280	360	ELRING	063665	XC-S12017270=xel-063665=12017270B=fb-15195=016409399B=108768885	0
	5864	AUDI/VW 45-60-8 сальник КПП T-4 оригинал	0	1100	1050	1000	950	1230	VAG	016409399b	XC-S12017270=xel-063665=12017270B=fb-15195=016409399B=108768885	0
	5865	AUDI/VW 45-72-15 сальник КПП T-2	2	110	100	100	100	120	Hans Pries	101812755	hp-101812786=XEL-277525=091301189=37510	0
	5866	AUDI/VW 48-62-7 сальник КПП	1	280	270	260	250	310	Corteco	12015555b	xc-12015555b=XC-S12015555=304090189084b=107386885=084409189B	0
	5867	AUDI/VW 50-65-10 сальник КПП GOLF-2 с заглушкой	1	300	290	280	270	340	Corteco	12016928	XC-S12016928=100076786=80713=020498085G=02065	0
	5868	AUDI/VW 50-65-8 сальник КПП правый T-5	1	400	380	360	340	450	Corteco	01031878b	02T409189C=02T409189K=01031878B=hp-111038786	3358960135087
	5869	AUDI/VW 60-74,3-8 сальник КПП левый T-5	1	350	330	310	290	390	Hans Pries	111039875	02m301189b=01029144B=111039875	0
	5870	AUDI/VW 57-71-7 сальник левый LT задней ступицы п/оси	2	130	120	110	100	150	Hans Pries	107443016	304090189084c=084409189C=HP-107443016	0
	5871	AUDI/VW 85-105-11 сальник к/вала задний	1	620	590	560	530	690	Reinz	81-23708-40	95872=342093=xes-8455585=342094=315494=FB-01090=101407016=81-23708-40=81-35091-00	0
	5872	AUDI/VW заглушка КПП VW T-4 45мм	2	180	170	160	150	200	Hans Pries	108618016	108618016=002517289a	0
	5873	AUDI/VW сальник к/в задний с фланцем 1,6	1	1160	1100	1050	1000	1300	JP GROUP	103101004	103101004=06B103171B	0
	5874	AUDI/VW сальник к/в задний с фланцем М7 2003-2009г AXB/AXC	1	860	820	780	740	960	Hans Pries	109613755	06A103171A=103100005=1119600806=hp-109613755=xvr-81-90010-00	0
	5875	AUDI/VW сальник к/в задний с фланцем M6 98-2004г ACV/AJT	1	1200	1140	1080	1030	1340	JP GROUP	103048001	028103171B=804.850=105753885=103048001=1119600206	0
	9607	AUDI/VW сальник к/в задний с фланцем VW T-5 BRR/BRS	1	4130	3920	3720	3530	4630	Reinz	81-90018-00	038103171S=045103173=MN980012=lk5012=110666535=1119600402=430.190=430190=81-90018-00	0
	9874	AUDI/VW сальник к/в задний с фланцем VW T-5 2,0TD	1	4400	4180	3970	3770	4930	Reinz	81-90052-00	81-90052-00=03l103171a=112886015=20034934b=fb-36383	0
3	5876	AUDI SPAIN										0
	5877	AUDI/VW 35-48-10 сальник REYCON	1	160	150	140	130	180	REYCON	REYCON	294.357=XEL-475961=50-306067-50	0
	5878	AUDI/VW 40-60-10/11,5 сальник REYCON	2	140	130	120	110	160	Malo	684PIAC	xc-s12015556=FB-15285=hp-100354016	0
	5879	AUDI/VW 48-68-10 сальник REYCON	2	250	240	230	220	280	REYCON	REYCON	48-68-10	0
	5880	AUDI/VW 75-95-10 сальник REYCON	2	590	560	530	500	660	REYCON	REYCON	75-95-10=1280244	0
	5881	AUDI/VW 85-105-12 сальник REYCON	2	270	260	250	240	300	REYCON	1292258	85-105-12=76355/1292258	0
3	5882	FORD										0
	5883	FORD 40-55-8 сальник КПП	2	150	140	130	120	170	Malo	10968p	S12015751=S10968P=SKT45713=xc-12011157b	0
	5884	FORD 42-56-7 сальник OHC	2	280	270	260	250	310	DPH	37639	NA582=757.497=S12014404=50-306211-70=81-51109-20=37639	0
	5885	FORD 47,6-66,7-11 сальник TRANZIT 2,5D 91->	1	650	620	590	560	730	Payen	nb453	NB856=090-NB757=xko-090-nb453	0
	5886	FORD 66,7-89,3-10 сальник к/вала передний	1	1180	1120	1060	1010	1320	Corteco	12015552	12015552=919.994=300418016=81-28359-10	0
3	5887	FORD SPAIN										0
	5888	FORD 35-50-7 сальник	1	270	260	250	240	300	Hans Pries	300389016	1280070=XMA-S11731RDSI=76099/1280304=300389016	0
	5889	FORD 36,51-52,47-12,7 сальник	2	100	100	100	100	110	Malo	11528RDSI	XMA-S11528RDSI	0
	5890	FORD 42-56-7 сальник	5	120	110	100	100	130	REYCON	1290416	76144/1290416=XMA-S11618RDSI	0
	5891	FORD 42-58-11 сальник	2	110	100	100	100	120	Malo	11802PRDS	XMA-S11802PRDS	0
	5892	FORD 60,32-76,33-11,1 сальник V6	2	170	160	150	140	190	Malo	11515RSSI	XMA-S11515RSSI	0
	5893	FORD 66-85-9 сальник	2	180	170	160	150	200	Malo	11647RDSI	XMA-S11647RDSI	0
	5894	FORD 79-95-11 сальник	1	220	210	200	190	250	Malo	11513RSSI	15035400=XMA-S11513RSSI 	0
	5895	FORD 88-108-11 сальник	1	660	630	600	570	740	Hans Pries	300390016	hp-300390016=05629=07690	0
3	5896	MERCEDES										0
	5897	MERCEDES 29,9-47-8 сальник первичного вала КПП	1	430	410	390	370	480	ELRING	582689	582689=0149976347=01019483	0
	9878	MERCEDES 31,8-62-8 сальник КПП	1	350	330	310	290	390	Corteco	01034075B	01034075B=a0239975547	0
	5898	MERCEDES 37-61-10/14 сальник зад редуктора без ASD	1	320	300	290	280	360	Corteco	01019477	0239979047=s01019477	0
	5899	MERCEDES 37-78,3-8/12 сальник  редуктора	2	710	670	640	610	800	Corteco	01019475	01019475B=01019475	0
	5900	MERCEDES 40-55-8 сальник хвостовика КПП задний	1	850	810	770	730	950	Mercedes	A0239970147	0239970147=01033808B	0
	5901	MERCEDES 40-58-10/19 сальник КПП правый VITO	1	890	850	810	770	1000	Mercedes	A0249974347	0249974347	0
	5902	MERCEDES 40-70-11/14 сальник зад редуктора CLASSIK	1	540	510	480	460	600	Corteco	01025661B	0229979947=0259970047=745.720=01025661B	0
	9754	MERCEDES 42-62-8 сальник хвостовика кпп 906	1	300	290	280	270	340	Corteco	01031902B	A0159971246=A0239978747=01031902=01031902B	0
	5903	MERCEDES 44-62-7 сальник КПП левый VITO	1	990	940	890	850	1110	Mercedes	A0229977347	0229977347	0
	5904	MERCEDES 45-65-8 сальник хвостовика КПП задний	3	360	340	320	300	400	Corteco	01019482b	01019482=01019482b	0
	5905	MERCEDES 45-67-8 сальник ELRING	1	360	340	320	300	400	Reinz	81-26248-10	0239978447=36206=NB973=xel-424841=76235/1290156=914.924=76235=81-26248-10=50-305910-50	0
	5906	MERCEDES 45-74-12 сальник CORTECO	1	790	750	710	670	880	Corteco	12010743	312.010=81-17328-20=s12010743	0
	5907	MERCEDES 45-74-12 сальник REYCON син	3	260	250	240	230	290	REYCON	REYCON	76173/1292238	0
	5908	MERCEDES 45-85,3-8/15 сальник КПП левый	1	1160	1100	1050	1000	1300	Mercedes	A0229979847	0229979847=01020315B=0259972647	0
	9636	MERCEDES 48-82-12,5/19,5 сальник хвостовика SPRINTER 906	1	780	740	700	670	870	Corteco	01035893b	01035893B=A0259975547=a0159970346	0
	9756	MERCEDES 60-75-8 сальник к/вала передний OM651	1	360	340	320	300	400	Reinz	81-40458-00	81-40458-00=A0149972646=742.950=15094700=19036884B	0
	5909	MERCEDES 78-94-8 сальник-набивка	3	370	350	330	310	410	Meyle	0140990035	03512=188.680=3101999330=70-19722-00=0140990035	0
	5910	MERCEDES 90-167-10,5 сальник к/вала задний в корпусе MB A140/A160/A190	1	2690	2560	2430	2310	3010	Reinz	81-90009-00	81-90009-00=A1660100114	0
	5911	MERCEDES 93-114-14 сальник к/вала задний	1	900	860	820	780	1010	ELRING	914.932	50-305914-50=0179977447=xel-914932=81-26249-00	0
	5912	MERCEDES 93-117-12 сальник	1	550	520	490	470	620	REYCON	REYCON	93х117х12	0
3	5913	BMW										0
	5914	BMW 35-55-12 сальник	3	360	340	320	300	400	ELRING	587044	587.044=50-306695-50=80-19866-10	0
	5915	BMW 35-52-7 сальник	1	750	710	670	640	840	REYCON	23121220619	23121220619=01019289	0
	5916	BMW 38-50-7 сальник	2	580	550	520	490	650	Reinz	81-24641-10	81-24641-10	0
	5917	BMW 44-60-10 сальник	1	870	830	790	750	970	ELRING	761.796	50-306445-50=xel-761796=761.796=DPH 80654=76255	0
	5918	BMW 42-52-8 сальник	1	680	650	620	590	760	ELRING	748889	748.889=12014607=748889=1290277	0
	5919	BMW 42-62-12 сальник	1	270	260	250	240	300	GOETZE	50-306553-50	50-306553-50=586.641=xc-s12013896-10мм ширина	0
	9907	BMW 45-58-7 сальник КПП ZF 0734319695	1	490	470	450	430	550	ZF Parts	0734319695	0734319695=24317519352	0
	5920	BMW 48-65-10 сальник	2	470	450	430	410	530	ELRING	586676	1280117=50-306222-50=500759786=586.676	0
3	5922	BMW SPAIN										0
	5923	BMW 30-48-10 сальник КПП	2	280	270	260	250	310	Malo	11563RDAC	11563=200-ti474	0
	5924	BMW 35-55-12 сальник	2	190	180	170	160	210	Malo	11544RDSI	S11544RDSI	0
	5926	BMW 38-50-7/10 сальник	1	250	240	230	220	280	Malo	644PIFL	S644PIFL	0
	5927	BMW 42-62-12 сальник	2	260	250	240	230	290	REYCON	1290090	76231/1290090	0
	5928	BMW 90-110-13 сальник к/вала задний	1	370	350	330	310	410	Malo	S11545prss	s11545prss	0
3	5929	MITSUBISHI, NISSAN, CRYSLER										0
	5930	MITSUBISHI 20-30-7 сальник масл насоса	3	120	110	100	100	130	Payen	NJ655	NJ655=19027851=15002200=15004400=19016661B=19016601B	0
	5931	MITSUBISHI 17-28-7 сальник	0	80	80	80	80	90	Payen	NJ255	NJ255	0
	5932	CRYSLER VOYAGER 32-45-6 сальник к/в передний	0	850	810	770	730	950	Mopar	04667198	04667198	0
	5933	MITSUBISHI 25-35-6 сальник	0	80	80	80	80	90	Payen	NJ610	XFM-NJ610	0
	9908	MITSUBISHI 39,6-52-11 сальник раздатки	0	470	450	430	410	530	Mitsubishi	MD731708	MD731708=95iay-40521011x=jf-36973	0
	9909	MITSUBISHI 42,8-55-11 сальник раздатки	0	420	400	380	360	470	Mitsubishi	MB919210	MB919210=zvcl225=kmb919210=f4254	0
	5934	NISSAN PATROL 33-44-10 сальник переднего моста	1	120	110	100	100	130	Payen	nj125	xfm-nj125=40533-01J00	0
	5935	MITSUBISHI 44-60-7 сальник	0	110	100	100	100	120	Payen	NJ005	NJ005=xfm-nj005	0
	5936	MITSUBISHI 65-80-8 сальник полуоси/раздатки	1	570	540	510	480	640	Mitsubishi	MD745423	19034924B=MD745423	0
	9869	MITSUBISHI 80-96-9 сальник 	1	180	170	160	150	200	Payen	NJ058	NJ058	0
	5937	86-103-7,5 сальник	1	470	450	430	410	530	REYCON	REYCON	86-103-7,5	0
	5938	NISSAN 86-100-10 сальник к/вала задний	1	1720	1630	1550	1470	1930	Reinz	81-53334-00	81-53334-00=NJ829=15045200=20029180B=12279-43G02=12279-7F401=12279-7C600	0
	9573	NISSAN 50-86-22,5 сальник хвостовика заднего дифференциала	1	1660	1580	1500	1430	1860	NISSAN	38189-7S000	38189-7S000	0
3	5939	VOLVO										0
